std_id,full_id,timepoint,graph_order,treatment,replicate,flask,sample_id,pic_batch,wing_length,uni,collection_date,stock_origin,uni_tx
0h,UW-0h,0h,1,match,A2,1,0h A2,12_02_2022,2.61,UW,,UW,UW-match
0h,UW-0h,0h,1,match,A1,1,0h A1,12_02_2022,2.551,UW,,UW,UW-match
0h,UW-0h,0h,1,match,B1,2,0h B1,12_02_2022,2.489,UW,,UW,UW-match
0h,UW-0h,0h,1,match,B2,2,0h B2,12_02_2022,2.48,UW,,UW,UW-match
0h,UW-0h,0h,1,match,B3,2,0h B3,12_02_2022,2.482,UW,,UW,UW-match
0h,UW-0h,0h,1,match,B4,2,0h B4,12_02_2022,2.486,UW,,UW,UW-match
0h,UW-0h,0h,1,match,B5,2,0h B5,12_02_2022,2.513,UW,,UW,UW-match
0h,UW-0h,0h,1,match,B6,2,0h B6,12_02_2022,2.541,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C1,3,0h C1,12_02_2022,2.605,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C2,3,0h C2,12_02_2022,2.579,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C3,3,0h C3,12_02_2022,2.626,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C4,3,0h C4,12_02_2022,2.732,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C5,3,0h C5,12_02_2022,2.586,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C6,3,0h C6,12_02_2022,2.608,UW,,UW,UW-match
0h,UW-0h,0h,1,match,C7,4,0h C7,12_02_2022,2.628,UW,,UW,UW-match
0h,UW-0h,0h,1,match,D1,5,0h D1,12_02_2022,2.413,UW,,UW,UW-match
0h,UW-0h,0h,1,match,D2,5,0h D2,12_02_2022,2.388,UW,,UW,UW-match
0h,UW-0h,0h,1,match,D3,5,0h D3,12_02_2022,2.427,UW,,UW,UW-match
0h,UW-0h,0h,1,match,D4,5,0h D4,12_02_2022,2.321,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A1,6,24h A1,12_06_2022,2.541,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A10,6,24h A10,12_06_2022,2.62,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A2,6,24h A2,12_06_2022,2.645,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A3,6,24h A3,12_06_2022,2.646,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A4,6,24h A4,12_06_2022,2.573,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A5,6,24h A5,12_06_2022,2.647,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A6,6,24h A6,12_06_2022,2.674,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A7,6,24h A7,12_06_2022,2.736,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A8,6,24h A8,12_06_2022,2.656,UW,,UW,UW-match
24h,UW-24h,24h,2,match,A9,6,24h A9,12_06_2022,2.635,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B1,7,24h B1,12_06_2022,2.779,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B2,7,24h B2,12_06_2022,2.726,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B3,7,24h B3,12_06_2022,2.743,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B4,7,24h B4,12_06_2022,2.698,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B5,7,24h B5,12_06_2022,2.745,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B6,7,24h B6,12_06_2022,2.67,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B7,7,24h B7,12_06_2022,2.669,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B8,7,24h B8,12_06_2022,2.691,UW,,UW,UW-match
24h,UW-24h,24h,2,match,B9,7,24h B9,12_06_2022,2.647,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C1,8,24h C1,12_06_2022,2.717,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C2,8,24h C2,12_06_2022,2.668,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C3,8,24h C3,12_06_2022,2.424,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C4,8,24h C4,12_06_2022,2.393,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C5,8,24h C5,12_06_2022,2.514,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C6,8,24h C6,12_06_2022,2.642,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C7,8,24h C7,12_06_2022,2.451,UW,,UW,UW-match
24h,UW-24h,24h,2,match,C8,8,24h C8,12_06_2022,2.555,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A1,9,d10 A1,12_02_2022,2.679,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A10,9,d10 A10,12_02_2022,2.556,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A3,9,d10 A3,12_02_2022,2.541,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A4,9,d10 A4,12_02_2022,2.648,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A5,9,d10 A5,12_02_2022,2.535,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A6,9,d10 A6,12_02_2022,2.731,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A8,9,d10 A8,12_02_2022,2.834,UW,,UW,UW-match
d10,UW-d10,d10,3,match,A9,9,d10 A9,12_02_2022,2.677,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B1,10,d10 B1,12_02_2022,2.571,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B10,10,d10 B10,12_02_2022,2.889,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B11,10,d10 B11,12_02_2022,2.619,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B2,10,d10 B2,12_02_2022,2.81,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B3,10,d10 B3,12_02_2022,2.833,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B4,10,d10 B4,12_02_2022,2.713,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B5,10,d10 B5,12_02_2022,2.865,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B6,10,d10 B6,12_02_2022,2.779,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B7,10,d10 B7,12_02_2022,2.957,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B8,10,d10 B8,12_02_2022,2.742,UW,,UW,UW-match
d10,UW-d10,d10,3,match,B9,10,d10 B9,12_02_2022,2.687,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C1,11,d10 C1,12_02_2022,2.69,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C10,11,d10 C10,12_02_2022,2.645,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C2,11,d10 C2,12_02_2022,2.706,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C3,11,d10 C3,12_02_2022,2.788,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C4,11,d10 C4,12_02_2022,2.662,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C5,11,d10 C5,12_02_2022,2.656,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C6,11,d10 C6,12_02_2022,2.775,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C7,11,d10 C7,12_02_2022,2.772,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C8,11,d10 C8,12_02_2022,2.731,UW,,UW,UW-match
d10,UW-d10,d10,3,match,C9,11,d10 C9,12_02_2022,2.597,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D1,12,d10 D1,12_02_2022,2.656,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D2,12,d10 D2,12_02_2022,2.779,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D3,12,d10 D3,12_02_2022,2.673,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D4,12,d10 D4,12_02_2022,2.648,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D5,12,d10 D5,12_02_2022,2.791,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D6,12,d10 D6,12_02_2022,2.701,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D7,12,d10 D7,12_02_2022,2.629,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D8,12,d10 D8,12_02_2022,2.602,UW,,UW,UW-match
d10,UW-d10,d10,3,match,D9,12,d10 D9,12_02_2022,2.782,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,A1,13,d16 home A1,12_02_2022,2.897,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,A2,13,d16 home A2,12_02_2022,2.721,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,A3,13,d16 home A3,12_02_2022,2.82,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,A4,13,d16 home A4,12_02_2022,2.779,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,A5,13,d16 home A5,12_02_2022,2.611,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,A6,13,d16 home A6,12_02_2022,2.839,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,B1,14,d16 home B1,12_02_2022,2.794,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,B2,14,d16 home B2,12_02_2022,2.578,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,B3,14,d16 home B3,12_02_2022,2.836,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,B4,14,d16 home B4,12_02_2022,2.611,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,B5,14,d16 home B5,12_02_2022,2.823,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,B6,14,d16 home B6,12_02_2022,2.867,UW,,UW,UW-match
d16 home,UW-d16 home,d16,4,match,C1,15,d16 home C1,12_02_2022,2.482,UW,,UW,UW-match
